,action_type,combined_shot_type,loc_x,loc_y,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_name,matchup,opponent,year
1487,Jump Shot,Jump Shot,16,194,10,2,0,2001-02,13,19,Miss,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ SEA,SEA,2001
1488,Slam Dunk Shot,Dunk,0,0,7,2,0,2001-02,13,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ SEA,SEA,2001
1489,Jump Shot,Jump Shot,-27,245,6,2,0,2001-02,31,24,Miss,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL @ SEA,SEA,2001
1490,Turnaround Jump Shot,Jump Shot,28,106,5,2,0,2001-02,49,10,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL @ SEA,SEA,2001
1491,Jump Shot,Jump Shot,-183,228,4,2,0,2001-02,30,29,Miss,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL @ SEA,SEA,2001
1492,Jump Shot,Jump Shot,-138,116,3,2,0,2001-02,42,18,Miss,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ SEA,SEA,2001
1493,Jump Shot,Jump Shot,-183,76,3,2,0,2001-02,27,19,Hit,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ SEA,SEA,2001
1494,Layup Shot,Layup,-18,4,2,2,0,2001-02,46,1,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ SEA,SEA,2001
1495,Jump Shot,Jump Shot,-105,222,10,3,0,2001-02,57,24,Miss,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL @ SEA,SEA,2001
1496,Jump Shot,Jump Shot,235,82,6,3,0,2001-02,51,24,Miss,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,Los Angeles Lakers,LAL @ SEA,SEA,2001
1497,Jump Shot,Jump Shot,136,30,6,3,0,2001-02,22,13,Miss,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ SEA,SEA,2001
1498,Turnaround Jump Shot,Jump Shot,37,26,4,3,0,2001-02,1,4,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL @ SEA,SEA,2001
1499,Driving Dunk Shot,Dunk,0,0,3,3,0,2001-02,42,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ SEA,SEA,2001
1500,Jump Shot,Jump Shot,-84,144,2,3,0,2001-02,13,16,Hit,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ SEA,SEA,2001
1501,Slam Dunk Shot,Dunk,0,0,4,4,0,2001-02,45,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ SEA,SEA,2001
1502,Jump Shot,Jump Shot,129,150,4,4,0,2001-02,11,19,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ SEA,SEA,2001
1503,Jump Shot,Jump Shot,-113,110,10,1,0,2001-02,2,15,Hit,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. MIN,MIN,2001
1504,Turnaround Jump Shot,Jump Shot,-134,26,5,1,0,2001-02,50,13,Miss,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. MIN,MIN,2001
1505,Jump Shot,Jump Shot,1,194,2,1,0,2001-02,0,19,Miss,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. MIN,MIN,2001
1506,Jump Shot,Jump Shot,-105,133,1,1,0,2001-02,16,16,Hit,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. MIN,MIN,2001
1507,Driving Layup Shot,Layup,0,0,0,1,0,2001-02,43,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. MIN,MIN,2001
1508,Driving Layup Shot,Layup,0,0,0,2,0,2001-02,55,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. MIN,MIN,2001
1509,Jump Shot,Jump Shot,180,184,0,2,0,2001-02,41,25,Hit,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. MIN,MIN,2001
1510,Running Jump Shot,Jump Shot,1,57,7,3,0,2001-02,45,5,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. MIN,MIN,2001
1511,Jump Shot,Jump Shot,-84,156,6,3,0,2001-02,47,17,Miss,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. MIN,MIN,2001
1512,Layup Shot,Layup,16,30,6,3,0,2001-02,14,3,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. MIN,MIN,2001
1513,Fadeaway Jump Shot,Jump Shot,-18,104,2,3,0,2001-02,37,10,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL vs. MIN,MIN,2001
1514,Jump Shot,Jump Shot,-56,167,0,1,0,2001-02,44,17,Hit,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1515,Jump Shot,Jump Shot,-242,70,0,1,0,2001-02,22,25,Miss,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1516,Jump Shot,Jump Shot,129,156,3,2,0,2001-02,0,20,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1517,Jump Shot,Jump Shot,-170,13,1,2,0,2001-02,13,17,Miss,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1518,Driving Layup Shot,Layup,0,0,0,2,0,2001-02,38,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1519,Jump Shot,Jump Shot,1,63,0,2,0,2001-02,8,6,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1520,Jump Shot,Jump Shot,-33,63,11,3,0,2001-02,42,7,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1521,Running Jump Shot,Jump Shot,115,0,10,3,0,2001-02,9,11,Hit,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1522,Running Jump Shot,Jump Shot,-4,57,9,3,0,2001-02,36,5,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1523,Driving Layup Shot,Layup,0,0,9,3,0,2001-02,11,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1524,Running Jump Shot,Jump Shot,-77,87,6,3,0,2001-02,16,11,Hit,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1525,Jump Shot,Jump Shot,-18,144,5,3,0,2001-02,39,14,Miss,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1526,Jump Shot,Jump Shot,50,10,3,3,0,2001-02,51,5,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1527,Jump Shot,Jump Shot,-34,55,3,3,0,2001-02,45,6,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1528,Turnaround Jump Shot,Jump Shot,153,30,3,3,0,2001-02,14,15,Hit,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1529,Jump Shot,Jump Shot,-4,163,0,3,0,2001-02,57,16,Miss,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1530,Jump Shot,Jump Shot,-170,93,10,4,0,2001-02,24,19,Miss,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1531,Turnaround Jump Shot,Jump Shot,-71,42,8,4,0,2001-02,58,8,Hit,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1532,Jump Shot,Jump Shot,-42,7,8,4,0,2001-02,28,4,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1533,Jump Shot,Jump Shot,7,253,5,4,0,2001-02,14,25,Miss,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1534,Jump Shot,Jump Shot,-170,30,2,4,0,2001-02,46,17,Miss,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1535,Running Dunk Shot,Dunk,0,0,0,4,0,2001-02,0,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. DAL,DAL,2001
1536,Jump Shot,Jump Shot,163,23,9,1,0,2001-02,45,16,Miss,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2001
1537,Driving Layup Shot,Layup,0,0,6,1,0,2001-02,49,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2001
1538,Layup Shot,Layup,16,-2,0,1,0,2001-02,47,1,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2001
1539,Jump Shot,Jump Shot,70,0,0,1,0,2001-02,35,7,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2001
1540,Jump Shot,Jump Shot,-124,85,8,2,0,2001-02,44,15,Hit,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2001
1541,Driving Dunk Shot,Dunk,0,0,6,2,0,2001-02,42,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2001
1542,Jump Shot,Jump Shot,-4,55,3,2,0,2001-02,51,5,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2001
1543,Jump Shot,Jump Shot,-4,55,1,2,0,2001-02,51,5,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2001
1544,Jump Shot,Jump Shot,-63,34,1,2,0,2001-02,49,7,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2001
1545,Jump Shot,Jump Shot,-153,215,0,2,0,2001-02,1,26,Miss,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL @ SAC,SAC,2001
1546,Jump Shot,Jump Shot,77,0,8,3,0,2001-02,23,7,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2001
1547,Jump Shot,Jump Shot,-124,171,5,3,0,2001-02,5,21,Miss,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2001
1548,Jump Shot,Jump Shot,28,66,4,3,0,2001-02,28,7,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2001
1549,Jump Shot,Jump Shot,-147,106,3,3,0,2001-02,52,18,Miss,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2001
1550,Jump Shot,Jump Shot,-54,28,2,3,0,2001-02,7,6,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2001
1551,Driving Layup Shot,Layup,0,0,0,3,0,2001-02,35,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2001
1552,Turnaround Jump Shot,Jump Shot,58,13,6,4,0,2001-02,29,5,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2001
1553,Running Jump Shot,Jump Shot,115,7,0,4,0,2001-02,17,11,Hit,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2001
1554,Turnaround Jump Shot,Jump Shot,1,82,10,1,0,2001-02,28,8,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL vs. SEA,SEA,2001
1555,Jump Shot,Jump Shot,100,133,8,1,0,2001-02,24,16,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. SEA,SEA,2001
1556,Jump Shot,Jump Shot,115,133,2,1,0,2001-02,38,17,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. SEA,SEA,2001
1557,Driving Layup Shot,Layup,0,0,2,1,0,2001-02,32,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. SEA,SEA,2001
1558,Jump Shot,Jump Shot,-92,137,0,1,0,2001-02,44,16,Miss,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. SEA,SEA,2001
1559,Driving Layup Shot,Layup,0,0,0,1,0,2001-02,0,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. SEA,SEA,2001
1560,Jump Shot,Jump Shot,-27,190,11,2,0,2001-02,17,19,Miss,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. SEA,SEA,2001
1561,Jump Shot,Jump Shot,83,205,1,2,0,2001-02,5,22,Hit,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. SEA,SEA,2001
1562,Dunk Shot,Dunk,0,0,0,2,0,2001-02,40,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. SEA,SEA,2001
1563,Running Jump Shot,Jump Shot,-56,53,0,2,0,2001-02,17,7,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. SEA,SEA,2001
1564,Jump Shot,Jump Shot,7,373,0,2,0,2001-02,0,37,Miss,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. SEA,SEA,2001
1565,Jump Shot,Jump Shot,64,36,11,3,0,2001-02,15,7,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. SEA,SEA,2001
1566,Jump Shot,Jump Shot,138,76,8,3,0,2001-02,59,15,Hit,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. SEA,SEA,2001
1567,Jump Shot,Jump Shot,153,7,6,3,0,2001-02,37,15,Miss,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. SEA,SEA,2001
1568,Driving Layup Shot,Layup,0,0,5,3,0,2001-02,28,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. SEA,SEA,2001
1569,Jump Shot,Jump Shot,138,7,0,3,0,2001-02,30,13,Miss,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. SEA,SEA,2001
1570,Jump Shot,Jump Shot,64,241,0,3,0,2001-02,2,24,Miss,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. SEA,SEA,2001
1571,Jump Shot,Jump Shot,-141,219,1,4,0,2001-02,46,26,Miss,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. SEA,SEA,2001
1572,Turnaround Jump Shot,Jump Shot,123,-2,0,4,0,2001-02,53,12,Miss,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. SEA,SEA,2001
1573,Driving Layup Shot,Layup,0,0,11,1,0,2001-02,35,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2001
1574,Jump Shot,Jump Shot,-98,93,7,1,0,2001-02,35,13,Miss,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2001
1575,Driving Dunk Shot,Dunk,0,0,5,1,0,2001-02,34,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2001
1576,Driving Layup Shot,Layup,0,0,3,1,0,2001-02,0,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2001
1577,Dunk Shot,Dunk,0,0,1,1,0,2001-02,57,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2001
1578,Fadeaway Jump Shot,Jump Shot,-33,76,0,1,0,2001-02,39,8,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2001
1579,Driving Dunk Shot,Dunk,0,0,3,2,0,2001-02,49,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2001
1580,Jump Shot,Jump Shot,136,217,0,2,0,2001-02,24,25,Miss,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2001
1581,Jump Shot,Jump Shot,-122,45,5,3,0,2001-02,16,13,Miss,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2001
1582,Jump Shot,Jump Shot,142,34,3,3,0,2001-02,19,14,Miss,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2001
1583,Jump Shot,Jump Shot,-115,141,1,3,0,2001-02,55,18,Hit,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2001
1584,Reverse Layup Shot,Layup,0,0,1,3,0,2001-02,3,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2001
1585,Jump Shot,Jump Shot,-44,80,0,3,0,2001-02,4,9,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2001
1586,Jump Shot,Jump Shot,-105,7,9,4,0,2001-02,23,10,Hit,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2001
1587,Jump Shot,Jump Shot,-12,207,7,4,0,2001-02,5,20,Miss,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2001
1588,Jump Shot,Jump Shot,7,213,6,4,0,2001-02,0,21,Hit,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2001
1589,Jump Shot,Jump Shot,-12,163,11,1,0,2001-02,20,16,Hit,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2001
1590,Layup Shot,Layup,0,0,8,1,0,2001-02,49,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2001
1591,Running Jump Shot,Jump Shot,22,133,7,1,0,2001-02,4,13,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2001
1592,Running Jump Shot,Jump Shot,43,30,4,1,0,2001-02,15,5,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2001
1593,Driving Dunk Shot,Dunk,0,0,3,3,0,2001-02,40,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2001
1594,Slam Dunk Shot,Dunk,0,0,2,3,0,2001-02,57,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2001
1595,Driving Dunk Shot,Dunk,0,0,1,3,0,2001-02,45,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2001
1596,Running Jump Shot,Jump Shot,-77,99,0,3,0,2001-02,41,12,Hit,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2001
1597,Jump Shot,Jump Shot,-50,198,11,1,0,2001-02,9,20,Miss,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1598,Jump Shot,Jump Shot,-65,181,9,1,0,2001-02,14,19,Miss,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1599,Jump Shot,Jump Shot,60,243,5,1,0,2001-02,16,25,Hit,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1600,Jump Shot,Jump Shot,3,51,4,1,0,2001-02,8,5,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1601,Driving Dunk Shot,Dunk,0,0,2,1,0,2001-02,58,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1602,Jump Shot,Jump Shot,94,146,0,1,0,2001-02,58,17,Hit,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1603,Fadeaway Jump Shot,Jump Shot,9,66,5,2,0,2001-02,16,6,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1604,Jump Shot,Jump Shot,94,133,8,3,0,2001-02,52,16,Hit,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1605,Fadeaway Jump Shot,Jump Shot,115,59,4,3,0,2001-02,15,12,Miss,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1606,Jump Shot,Jump Shot,100,42,3,3,0,2001-02,52,10,Miss,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1607,Jump Shot,Jump Shot,-4,89,2,3,0,2001-02,36,8,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1608,Layup Shot,Layup,0,0,1,3,0,2001-02,42,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1609,Dunk Shot,Dunk,0,0,1,3,0,2001-02,26,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1610,Follow Up Dunk Shot,Dunk,0,0,0,3,0,2001-02,53,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1611,Layup Shot,Layup,0,0,0,3,0,2001-02,2,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1612,Jump Shot,Jump Shot,-18,190,10,4,0,2001-02,21,19,Miss,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1613,Running Jump Shot,Jump Shot,-96,66,9,4,0,2001-02,26,11,Miss,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1614,Driving Layup Shot,Layup,0,0,8,4,0,2001-02,44,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1615,Finger Roll Shot,Layup,0,0,8,4,0,2001-02,8,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1616,Turnaround Jump Shot,Jump Shot,-10,89,7,4,0,2001-02,27,8,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1617,Jump Shot,Jump Shot,106,13,6,4,0,2001-02,36,10,Miss,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1618,Jump Shot,Jump Shot,1,184,4,4,0,2001-02,41,18,Miss,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1619,Driving Layup Shot,Layup,0,0,1,4,0,2001-02,36,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1620,Driving Layup Shot,Layup,0,0,0,4,0,2001-02,43,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2001
1621,Jump Shot,Jump Shot,180,4,11,1,0,2001-02,10,18,Hit,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ MEM,MEM,2001
1622,Running Jump Shot,Jump Shot,37,87,10,1,0,2001-02,10,9,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL @ MEM,MEM,2001
1623,Jump Shot,Jump Shot,-155,47,7,1,0,2001-02,43,16,Miss,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ MEM,MEM,2001
